"Title","Abstract","Counties","Location (lat/long)","Start Date","End Date","Location Description","Project Type Description","Detailed Description","Project Need","Critical Impacts","Benefits","Sponsor Agency","Drinking Water Supply","Water Quality Improvement","Water Reuse/Recycling","Stormwater Improvements","Groundwater Benefits","Infiltration","Habitat Protection and Restoration","Flood Protection"
"napa river arundo removal lodi lane to zinfandel lane ","in an effort to reduce potential flooding along the napa river and restore more of the native riparian habitat to increase fisheries health the napa county flood control district is attempting to eradicate arundo donax from it's watershed. arundo is an invasive bamboo-like weed that has invaded waterways throughout the west and has in many cases completely choked out entire rivers and streams and decimated the native environmental habitat in it's wake. napa county is trying to take control and eliminate arundo before it becomes a completely overwhelming project. ","napa county ","38.527151647 |-122.490895986  to  38.495117753 |-122.425844371 "," "," ","the stretch of the napa river that runs from lodi lane downstream approximately 5 miles to zinfandel lane. "," "," "," "," "," ","napa county flood control and water conservation district ","0","0","0","0","1","0","1","1"
"cccsd-concord recycled water project ","central contra costa sanitary district (cccsd) will expand its recycled water distribution system by constructing approximately 2.5 miles of pipeline in the city of concord. up to 34 new customers will use recycled water for landscape irrigation. the project will reduce customer potable water use by approximately 190 acre-feet per year; potable water originates from the sacramento/san joaquin delta. ","contra costa county ","37.974819456907035 | -122.05862045288086 ","01/01/2013-estimated construction start date ","12/01/2013 ","see figure. the project is located in concord. the project area is a triangle shape framed by hwy 680 concord avenue and walnut creek (the creek not the city.) the recycled water distribution system begins from the buchanan fields golf course (an existing recycled water customer) then down meridian park blvd branch off to burnett galaxy way diamond blvd and john glen drive. ","this is a water recycling project that will provide the distribution system required to make available filtered and disinfected effluent from cccsd's water reclamation facility for landscape irrigation in concord. it is an extension of the cccsd existing zone 1 project. this project provides water quality improvements to the suisun bay because effluent diverted to irrigation reduces cccsd discharge volume which reduces pollutant loading into suisun bay. this project reduces freshwater diversions from the sacramento delta thereby improving water quality. the project area is located within a disadvantaged community. ","the central contra costa sanitary district (cccsd) concord recycled water project will expand its recycled water distribution system to provide recycled water to irrigation users in the city of concord (east of the i-680 freeway and south of buchanan fields airport). the project consists of constructing approximately 2.5 miles of 4 to 10 pvc and hdpe pipeline and connecting up to 34 landscape irrigation connections. approximately 190 afy of recycled water will be used for landscape irrigation at businesses and roadway medians. this project also includes retrofit of backflow preventers required to connect users. the existing recycled water treatment storage and pumping facilities that currently serve the zone 1 recycled water project will also serve the new concord recycled water project. 10\" hdpe 1700 feet 10\" pvc 1400 feet 8\" pvc 1900 feet 6\" pvc 1400 feet 4\" pvc 6100 feet total 12500 feet approximately 2.5 miles service laterals 34 on-site connections 34 ","irrigation demands are seasonal with peak demand in summer time. water shortages typically occur during the summer months. therefore irrigating with recycled water reduces regional water demand during times where water shortages are most likely to occur. this improves regional water supply reliability. water recycling is a component of contra costa water districts (ccwd) long-term sustainable water supply strategy. in times of water shortages ccwd may impose water rationing. this project reduces the water demand and mitigates water shortages during drought year. ccwd water supply is from sacramento-san joaquin delta. using recycled water for landscape irrigation reduces demands on the delta. ","in times of water shortages in the contra costa water districts service area water rationing can be employed. the use of recycled water for landscape irrigation reduces the demand on the ccwd potable system lessening the need to ration. customers using recycled water will not be affected by water rationing that contra costa water district puts in place during water storages. ","the primary benefit of this project is that it will offset 190 afy of the potable water originating from the delta currently used for landscape irrigation. it reduces freshwater diversions from the sacramento delta and improves regional water supply reliability. water reuse also reduces cccsd discharge volume which reduces pollutant loading into suisun bay. recycled water contains ammonia which fertilizes turf. customers reduce/eliminate fertilizer application thus reducing emissions related to fertilizer production. ","central contra costa sanitary district ","0","1","1","0","0","0","0","0"
"corte madera creek watershed: saunders fish barrier removal ","ross taylor & associates assessed and prioritized barriers to fish passage in the corte madera creek watershed in 2006. a culvert containing an alaskan steeppass fish ladder at the saunders avenue rrossing of san anselmo creek a tributary to corte madera creek is the highest priority for treatment. an active 24-inch sewer rests on the bed of the creek immediately upstream of the box culvert. each of these features individually would cause san anselmo creek to overtop the bank of the creek by about 6 inches during the 100-year event. to address both the flooding and fish passage problems requires a new bridge and rerouting the sewer so it can be buried in the stream bed. ","marin ","37.98140742932986 | -122.57099211215973 ","when funding is obtained "," ","san anselmo creek at sanders avenue san anselmo california ","water quality: when flooding occurs water quality is harmed by the materials carried into the creek by the out-of-bank flows: excessive sediment gardening supplies and chemicals automotive care products and other materials typically found in garages and garden sheds. habitat protection and restoration: the project would remove a barrier to passage for steelhead trout and other fishes in san anselmo creek. invasive non-natives would be removed from the bank within the project area on the high school campus and native plants would be installed. flood protection: replacing the bridge and relocating the sewer would remove up to 19 homes plus a portion of the sir francis drake high school campus from the 100-year flood plain of san anselmo creek. ","a full-span bridge will be constructed a 24-inch sewer and the lateral connecting drake high school to the sewer will be relocated and a roughened channel will be installed under the new bridge. the roughened channel is necessary to avoid undercutting retaining walls that have been built by homeowners all along the right bank in the project area and on the left bank downstream of the bridge. the new configuration of the sewer and the bridge will provide capacity for the 100-year flow in san anselmo creek and meet noaa fisheries and california department of fish and game criteria for passage of all age classes of steelhead trout (oncorhynchus mykiss) that are known to occupy the watershed. ","fish passage: in the 1980s an alaskan steeppass fish ladder was installed and a low-flow channel constructed to provide upstream passage for adult anadromous steelhead. however the steeppass and low-flow channel are poorly suited for providing adult steelhead passage at typical migration flows. at migration flows the hydraulic capacity of the steeppass is overwhelmed and there is inadequate attraction flow for fish to find the outlet. at lower flows there is inadequate depth in the low-flow channel for adult steelhead to swim through. the fish passage facility also lacks a pool at the transition from the low-flow channel into the steeppass making entry difficult. additionally an alaskan steeppass does not provide passage for juvenile salmonids and is highly susceptible to plugging by debris. replacing the fish ladder and associated concrete structures with a roughened channel will provide passage for all age classes of steelhead and coho salmon (corte madera creek is critical habitat for both species although coho salmon were extirpated from the watershed by the mid-1980s). flooding: an active 24-inch sewer that forms a low dam on the bed of the creek causes water to leave the creek channel during the 100-year event; when that happens the bridge is adequate to convey the flow that remains in the channel. hydraulic modeling shows that if the sewer were removed from the bed of the creek then the bridge itself would cause flooding. when the water leaves the channel it floods a portion of the campus of sir francis drake high school 139 saunders avenue and 18 properties on agatha court. to avoid flooding during the 100-year event the sewer must be relocated and the bridge replaced. ","flood risk will be unabated in the vicinity of the saunders avenue bridge leaving many properties in the 100-year flood plain. migrating steelhead will be unable to pass the barrier at saunders avenue substantially all the time. ","none the degradation of water quality caused by flooding will e reduced. this includes excessive erosion of upland areas that flood addition of household and garden chemicals to the creek when garages homes and garden sheds flood and sewage overflows that typically occur when flooding occurs and overwhelms sewers. the 100-year flow will be retained in the channel if the project is implemented. this would remove 20 properties from the 100-year flood plain. the project would remove a barrier to passage for steelhead trout and other fishes in san anselmo creek. invasive non-natives would be removed from the bank within the project area on the high school campus and native plants would be installed. ","town of san anselmo
 friends of corte madera creek watershed
 ross valley sanitary district ","0","1","0","0","0","0","1","1"
"lower lagunitas creek habitat restoration project ","this project will implement restoration work along 4 miles of lagunitas creek to benefit endangered coho salmon and threatened steelhead trout. the work will enhance overwinter and floodplain habitat in the mainstem of the creek and reduce sediment loading and improve fish passage by storm-proofing tributary stream crossings along the cross marin trail in the same reach. this project expands two existing irwmp projects: lagunitas creek winter habitat enhancement implementation and lagunitas creek sediment reduction and management project. ","marin ","38.0503 | -122.7602 ","01/01/2015 ","09/30/2019 ","lagunitas creek marin county. the project area is a 4.1-mile reach of the mainstem of the creek and the associated tributaries located downstream of kent lake (see attached project location map.) ","drinking water supply: this project addresses water supply reliability by reducing potential vulnerabilities associated with a major water supply distribution pipeline. water quality improvement: this project will reduce sediment input to creeks and enhance floodplain sediment storage addressing goals and objectives identified in the state's lagunitas creek sediment tmdl. stormwater improvement: the project will implement road drainage improvements by sizing them for the 100 year storm thereby reducing turbidity and other adverse impacts from stormwater flows from these roads. habitat protection and restoration: the project will enhance overwinter habitat for coho salmon and steelhead trout in the mainstem and adjacent floodplain of lagunitas creek. the project will improve habitat for endangered salmonid species by reducing fine sediment loading to fish bearing streams and in some cases removing barriers to fish passage. ","lagunitas creek supports the largest and most stable population of endangered coho salmon in central california as well as a robust population of threatened steelhead trout. this project will restore habitat for these species by enhancing overwinter habitat and reducing fine sediment input to the creek. these are two critical implementation strategies identified to support and encourage recovery of coho and steelhead. the restoration work is identified for implementation in the lagunitas creek stewardship plan (2011 mmwd) the state and federal coho salmon recovery plans and the states sediment tmdl plan for lagunitas creek. this project expands two previously submitted irwmp projects: lagunitas creek winter habitat enhancement implementation and lagunitas creek sediment reduction and management project. the project is detailed in two recently completed studies. winter habitat enhancement construction sites were identified in the lagunitas creek salmonid winter habitat enhancement assessment report (2013) and then the basis of design report for the lagunitas creek salmonid winter habitat enhancement project (2013) provided 100% construction designs and specifications for winter habitat enhancement work at nine specific sites. sediment reduction work was identified in the lagunitas creek watershed sediment source site assessment (2013) which specifies treatment recommendations and sediment savings for each identified road erosion site including 60 sites along the cross marin trail. an initial phase of the winter habitat enhancement work (at four sites) has been awarded 2014 california department of fish and wildlife fisheries restoration grant program funding. an initial phase of the sediment reduction work (at three major sites) is currently being implemented funded under the bay areas proposition 84 round 2 implementation grant. the project proposed here is a second phase of winter habitat enhancement and sediment reduction work to be conducted in proximity to the phase one efforts in and at tributaries to lagunitas creek. winter habitat enhancement survival of coho and steelhead in the creek can be improved by enhancing rearing and high flow refuge areas. this implementation project will install large woody debris structures as engineered log jams to reconnect the floodplain with the main channel to be used by over wintering juveniles and spawning adults. this will allow for higher densities and greater carrying capacity of salmonids through the winter. reconnecting the floodplain will also allow for fine sediments in the flood waters to settle out and be stored in the floodplain to improve water quality. this project will implement the construction of up to four winter habitat enhancement features which were previously identified and designed in the winter habitat assessment. the assessment produced 100% engineered design drawings specifications and construction cost estimates for the specific sites where habitat enhancement will be implemented. the 100% design drawings will be used for environmental review and permitting contractor bidding and site construction. sediment reduction sedimentation particularly by fine sediments has been identified as being detrimental to the habitat of lagunitas creek for coho and steelhead. the state water quality control board has identified lagunitas creek as being impaired by sediment and has adopted a sediment tmdl for lagunitas creek. this project will implement actions aimed at reducing fine sediments from entering the creek leading to enhanced water quality and streambed conditions of lagunitas creek. in addition project work will strengthen the route along which the marin municipal water districts nicasio transmission pipeline a major public water supply transmission line runs. project work will be conducted collaboratively on mmwd state park and national park service (nps) lands as well as some private properties within the watershed in collaboration with the marin rcd. the above referenced lagunitas creek watershed sediment source site assessment has identified approximately 300 sediment source sites on unpaved roads in the watershed downstream of reservoirs. this includes 60 sites along the cross-marin trail which is the route of mmwds nicasio transmission pipeline and an important recreational trail. this irwmp project will implement improvements to the cross marin trail to strengthen the transmission line and stabilize this recreational trail. the work will address both chronic and catastrophic sources of sediment. also gravel management actions as identified from an mmwd-led in stream gravel assessment will be implemented in order to increase the gravel and cobble fraction of the streambed. this project work is included in the lagunitas creek stewardship plan. also winter habitat enhancement and sediment reduction in lagunitas creek have been identified as important recovery actions in the state's recovery strategy for california coho salmon as well as the federal recovery plan for central california coastal coho salmon. in addition fine sediment reduction is a focus of the state's lagunitas creek sediment tmdl. project scalability the scope of this project and the grant request amount are scalable. total estimated costs to implement the winter habitat enhancement and sediment reduction work identified for this reach of lagunitas creek is $5 million. initial phases of work already funded will accomplish $1.5 million in work leaving $3.5 million unfunded. this proposal requests $1.5 million and will accomplish $2 million in work. by adding or reducing the number of project sites implemented the proposed grant request and cost share can be scaled upwards to $3.5 million or downwards to $1.0 million. disadvantaged community: this project does not provide benefits specifically for a dac; the project will benefit the lagunitas creek watershed in marin county california and the bay area region in general. dac this project will not provide specific benefits directly for a disadvantaged community. the project will benefit the region and lagunitas creek in general rather than a specific dac. ","regional priorities addressed by this project include regional water supply reliability/long-term sustainability; health of the bay and creeks; sediment management; and fisheries restoration for coho salmon and steelhead recovery. lagunitas creek supports the largest and most stable population of endangered coho salmon in central california; it also supports a robust population of threatened steelhead trout. the lagunitas limiting factors analysis (stillwater sciences 2008) identified winter habitat as the limiting factor for both coho salmon and steelhead populations in the lagunitas creek watershed. fall juvenile and spring smolt survey data indicate dramatic declines in the numbers of juvenile coho during the winter months. it is hypothesized that winter habitat in lagunitas creek is limited during base flow to bank-full periods. sedimentation particularly by fine sediments has been identified as being detrimental to the habitat of lagunitas creek for coho and steelhead. roads are a major source of both chronic and catastrophic sediment loading to fish-bearing streams. mmwd has major water supply transmission pipelines running under some of the roads in the lagunitas watershed. the sediment site source assessments estimates that up to 56400 cu.yds of sediment (over 20000 cu.yds. on the cross marin trail alone) could be prevented from entering lagunitas creek and its tributaries by implementing the recommended sediment reduction work. the state water resources control board has identified lagunitas creek as being impaired by sediment and has adopted the lagunitas creek sediment tmdl which calls for implementing sediment reduction from roads and also to reconnect the mainstem of lagunitas creek to its floodplain and install large wood to sort and store fine sediment. this project will implement actions aimed at increasing winter habitat and reducing fine sediments from entering the creek leading to enhanced habitat water quality and streambed conditions of lagunitas creek. in addition some of the project work will secure the route along the marin municipal water districts (mmwds) nicasio transmission pipeline a major public water supply transmission line. the federal recovery plan for evolutionarily significant unit of central california coast coho salmon final plan (national marine fisheries service  2012) includes this task for coho recovery: conduct rehabilitation activities that restore channels floodplains and meadows to extend the duration of the summer flow and provide refuge from high winter flows (evaluate the tocaloma reach of the lower lagunitas mainstem). this project is within the tocaloma reach of lower lagunitas creek. ","coho salmon in central california are on the brink of extinction; not implementing this project will not provide the habitat enhancement and sediment reduction needed to help recover the population not only for lagunitas creek but for all of central california. a failure of culverts at lagunitas creek tributary crossings of the earth and road conveying the district's water supply transmission pipeline could have a significant impact on water supply to large portions of marin county. regional priorities addressed by this project include regional water supply reliability/long-term sustainability; health of the bay and creeks; sediment management; and fisheries restoration for coho salmon and steelhead recovery. (additional narrative regarding specific manner in which this project addresses regional priorities can easily be provided upon request.) ","the project work will strengthen the route along which the marin municipal water districts (mmwds) nicasio transmission pipeline a major public water supply transmission line runs by strengthening the earth supporting the pipeline at culvert crossings and other sediment reduction sites. this will provide water supply reliability for mmwd's customers in marin county. the project will support the state's sediment tmdl for lagunitas creek by reducing fine sediment loading to streams supporting endangered coho salmon and threatened steelhead. sediment reduction will enhance habitat for the benefit of coho and steelhead by resulting in increased pool habitat and improved sediment quality at critical spawning riffle habitats. sediment loading reductions will also reduce turbidity and improve water quality conditions for all aquatic life in lagunitas creek. the project will also directly support the sediment tmdl by installing large wood and reconnecting the mainstem channel to its floodplain to sort and store fine sediment. the project will implement road drainage improvements by sizing them for the 100-year storm thereby reducing turbidity and other adverse impacts from stormwater flows from these roads. this project provides resource stewardship benefits as it will result in habitat protection and restoration in several aspects: 1) it will implement the construction of up to four winter habitat enhancement features for the benefit of endangered coho salmon and threatened steelhead. 2) the project will reduce fine sediment loading to streams supporting endangered coho salmon and threatened steelhead. 3) the project will also enhance floodplain sediment storage addressing the primary goals and objectives identified in the states lagunitas creek sediment tmdl. sediment reduction will enhance habitat for the benefit of coho and steelhead by resulting in increased pool habitat and improved sediment quality at critical spawning riffle habitats. sediment loading reductions will also reduce turbidity and improve water quality conditions for all aquatic life in lagunitas creek and in some cases remove barriers to fish passage. the project will have a public recreation benefit for hikers bicyclists and equestrians who use the recreational roads in the watershed. the road drainage improvements will also improve the road surfaces to more stable road beds and provide recreation reliability with the roads being open and passable. benefit/cost ratio as noted above phase i of the sediment reduction work along the cross marin trail is currently underway and was included in the bay areas proposition 84 round 2 irwm implementation grant. a rigorous benefit/cost analysis was conducted during the proposal development process which resulted in establishing a benefit/cost ratio of 3.09 for this project. as the sediment reduction work included with this current concept proposal is virtually identical in nature (just at different sites located along the stream reach) to the phase i work it is reasonable to assume the sediment reduction work proposed here would also achieve a 3.09 benefit/cost ratio. phase i of the winter habitat enhancement work proposed here is receiving funding from the california department of fish and wildlifes fishery restoration grant program. a detailed benefit/cost analysis has not been conducted or required for the winter habitat enhancement aspect of this proposed project however the benefits are similar and the costs are similar enough to the sediment reduction work costs and benefits that we can assume a high benefit/cost ratio for this proposed project likely close to the 3.09 benefit/cost ratio already determined as described above. integration this project presents a high degree of up-front integration as it addresses priorities associated with several functional areas including water supply/water quality stormwater/flood control and watershed/habitat. as described above the project will contribute measurably to water supply reliability water quality improvement watershed habitat restoration endangered species protection as well as providing stormwater and recreation benefits. ","marin municipal water district ","1","1","0","1","0","0","1","0"
"north coast county water district drought preparedness and water conservation plan "," ","san mateo ","37.630269 |-122.489882 ","01/01/2015 ","12/31/2017 ","the plan has four sub-projects which are all located in the district's service area within the city of pacifica in san mateo county. ","elements of the drought preparedness and water conservation plan (plan) support the following project types: drinking water supply: the plan includes multiple elements which would reduce demands on existing drinking water sources and diversify future drinking water supplies. water reuse/recycling: the plan includes a recycled water enhancements and improvement sub-project which would increase recycled water use and decrease potable water demands. groundwater benefits: the plan includes a sub-project to develop a new groundwater source for the district. habitat restoration: the plan includes potential development of new groundwater and desalination water supply sources which could reduce demands on surface water sources thereby increasing water available for stream habitat. ","the north coast county water district (\"district\") is proposing a project concept referred to as a drought preparedness and water conservation plan and consists of multiple sub-projects each being actively pursued by the district to meet and reduce water demand during periods of drought and to provide operational flexibility and increased reliability for the district. the districts plan consists of four sub-projects (a through d) each discussed below: a. pipeline replacement program in 2013 the district initiated a study to develop a 20-year water master plan and capital improvement program (cip). a pipeline replacement program was identified and included as a high-priority cip project and the districts study identified specific pipelines which present the greatest risk for leaks and failures. the district has many pipelines in its system which are older asbestos-cement (ac) pipes and which are prone to leaks. the goal of this sub-project is to replace the oldest and most critical pipelines in the water system. b. supplemental groundwater supply this sub-project involves siting permitting engineering and construction-related activities associated with obtaining supplemental groundwater supplies in the districts service area. this includes possible construction of exploration well(s) and a new groundwater production well(s). the district is evaluating possible sites for construction of a new groundwater well on parcels owned by the district. the funding requested for this sub-project will be utilized for the cost to construct a groundwater exploration well and a production well including engineering permitting and construction costs. c. regional desalination feasibility study serving a coastal community the district is investigating the feasibility of working with neighboring communities including daly city san bruno montara water district and half moon bay for example to explore the costs and benefits of constructing a regional desalination treatment plant. this sub-project involves the cost to coordinate a regional study led by the district which would investigate potential sites for a desalination plant and expected costs and yields. d. recycled water enhancements and improvements the district has a partnership with the city of pacifica to utilize recycled water from pacificas calera creek recycling plant & collection system. the district receives recycled water from the plant and has constructed a recycled water pipeline and storage tank to supply recycled water to some district customers. the district plans to expand recycled water use in its southern service area. recently the district made improvements to the calera creek plant including adding pumps and valves. the next phase of recycled water expansion is to convert more potable customers to recycled water. the district is considering the potential for new recycled water service for the following locations:  terra nova high school  ortega elementary school  alma heights school  oddstad soccer fields an additional component of the districts recycled water enhancement and improvements sub-project is collaboration with the sfpuc to increase recycled water use for the sharp park golf course. scalability: projects a and d are highly scalable pending funding availability. these projects can be done in phases to address the highest priority pipelines/customers in earlier phases. ","the district serves a population of approximately 39000 people. the district purchases its water supply from the san francisco public utilities commission (sfpuc) which provides water from its hetch hetchy reservoir in the sierra nevada mountains and local bay area watersheds in the sunol area and on the san francisco peninsula. regional need: reduced dependence on sfpuc water supply if the district increases conservation and develops its own local water sources (groundwater and/or desalination) it could be less dependent on the water supply from the sfpuc system and increase supply reliability through diversification. regional need: improved reliability and emergency supply for district and neighbors in addition the district has emergency interties with three neighboring water districts: city of daly city the city of san bruno and westborough water district which also purchase water from the sfpuc system. an increase in water supply reliability for the district and increased water conservation potential could also serve to improve reliability for these neighboring districts during emergencies. operational/reliability needs : the districts water supply allocation from the sfpuc is delivered through a single pipeline that is approximately 4.2 miles in length and is aligned along the san andreas fault. because of this the districts source of supply and that pipeline are highly vulnerable to seismic activity. the districts plan includes elements that would increase water supply reliability and diversify supply sources so as to lessen its vulnerability to an outage of the sfpuc supply. water supply needs : in addition to its supply from the sfpuc the district holds surface water rights to san pedro creek located within its service area. however the san pedro creek surface water rights are limited and represent only 8% of its total water supply allocation from the sfpuc. the district has a need to diversify its water supply sources for improved flexibility and adaptability during drought conditions and climate change. conservation/water demand needs : current drought conditions and the potential for persistent future drought conditions make the need for conservation critical. the districts plan has sub-projects which would increase conservation by reducing leaks and by reducing demands. the pipeline replacement project would reduce leaks in older pipes. the recycled water project would replace potable consumption with recycled consumption thereby reducing potable demands. potential new water sources (groundwater desalination) would reduce demands on surface water sources of supply. ","without implementation of these projects the district will be primarily reliant upon the sfpuc for its entire water supply. the district receives this water through a pipeline aligned along the san andreas fault making this supply vulnerable to seismic activity. though the district has interties with neighboring water districts these districts are also primarily dependent upon the sfpuc for their water supply. having a diversified local supply of water would improve emergency scenarios. if future drought conditions persist and worsen without this plan the district would have few alternatives for water supply should the sfpucs supplies be limited. this plan includes potential development of groundwater and desalination; without these options the district will be primarily dependent on the sfpuc. without this plan opportunities to create significant increases in conservation may be limited. recently the district has implemented public education programs rebate programs and mandatory restrictions to promote conservation. such programs will continue in the future. however the conservation opportunities presented in this plan (replaced pipelines increased recycled water usage) represent more significant strategies for improving conservation. ","the districts plan will achieve multiple benefits. plan sub-projects support the management strategies in both the water supply and water quality and wastewater and recycled water functional areas identified in the bairwmp. water supply benefits: the plans benefits include increased water conservation diversification of water supply sources improved emergency water supply reliability reduced reliance on surface water and reduced reliance on imported water. the sub-projects of the plan target a reduction in potable water consumption through conservation of 10-15 million gallons per year which could potentially be realized with pipeline replacements (sub-project a) and increased recycled water usage (sub-project d). additional conservation of surface water resources on the order of 100 million gallons per year could potentially be realized through in-lieu use of supplemental groundwater supplies (sub-project b) and desalination (sub-project c). preliminary estimates for the total potential water savings represent about 10% of the districts average annual water demand. resource stewardship benefits: development of alternative water supply sources (groundwater desalination) would reduce demands on surface water resources potentially benefitting stream habitat quality. other: these projects are also collectively anticipated to reduce district staff time and resources used to repair pipelines; reduce demand on the sfpuc water supplies; and reduce costs to the district to purchase water from the sfpuc. benefit/cost ratio: the district estimates a benefit/cost ratio of 1.1 or better is achievable over the life of the sub-projects. a more rigorous benefit/cost analysis may be provided should the district be invited to move forward in the bay area irwmp process. ","north coast county water district ","1","0","1","0","1","0","1","0"
"upper yosemite creek daylighting project ","this project will utilize green infrastructure to improve stormwater management in the historic upper yosemite creek area of san francisco. the main goals of the project are stormwater volume reduction and peak flow attenuation. bioretention structures and creek daylighting are some of the techniques that will be used to reach these goals. this project will contribute to development of performance maintenance and design standards for future green infrastructure projects. ","san francisco ","37.723353 | -122.413308 ","12/03/2012 ","11/24/2019 ","the project is located in the yosemite watershed on the southeastern side of san francisco. green infrastruture components will be placed within and around maclaren park. the properties surrounding the project site are zoned as residential housing with one unit per lot and the surrounding neighborhood is considered a socio-economically disadvantaged community. ","water reuse/recycling: project will assess reuse of stormwater for irrigation; stormwater improvements: on-site management of stormwater run-off with green infrastructure improvements; groundwater benefits: treated stormwater which ultimately recharges groundwater; infiltration: the project area has soil types conducive for stormwater infiltration (>0.5 in/hr); habitat protection and restoration: restoration of historic creek and landscaping will include native plants which provides potential habitat for local species; flood protection: green infrastructure elements are designed to reduce surface flows and provide additional protection against flooding; related to a disadvantaged community: project is placed in a disadvantaged community (portola valley neighborhood). ","the upper yosemite creek daylighting project will daylight the headwaters of the historic yosemite creek to manage stormwater runoff from 110 acres of mclaren park. this san francisco public utilities commission (sfpuc) project will feature storage and infiltration facilities as well as a creek channel to convey stormwater and alleviate localized flooding issues. this is the first creek daylighting project initiated by the city and it has the added benefit of reintroducing natural habitat and providing opportunities for community learning and beautification. currently stormwater from the area drains into yosemite marsh and mcnab lake. when the water levels in yosemite marsh and mcnab lake reach the outlet elevations water spills into the combined sewer system. san franciscos combined sewer system collects transports and treats both wastewater and stormwater. during severe wet weather events the combined sewer system can become overwhelmed sometimes causing combined sewer discharges (csd) at permitted csd outfalls in the pacific ocean and the san francisco bay. the yosemite creek daylighting project is one of eight early implementation projects (eips) that the sfpuc is planning to construct as part of its sewer system improvement program (ssip). the common goal of the eips is to demonstrate the use of performance-based green infrastructure technologies to remove stormwater from the combined sewer system and attenuate peak flows. however the upper yosemite creek daylighting project is unique in that it is the only eip featuring creek daylighting. the information and expertise gained will be used to support the future of green infrastructure within the city of san francisco. the proposed scope for the yosemite creek daylighting project includes a creek channel that will flow along the northern edge of mclaren park from yosemite marsh the southern edge of the soccer field and the northern eastern and southern edges of the softball fields. overflow structures will be modified at yosemite marsh and mcnab lake to divert excess water to the new creek channel. to control flow velocity and increase habitat space bioretention facilities will be incorporated at various points along the creek. subsurface stormwater storage tanks will be installed at the northwestern edge of the softball fields. these subsurface tanks will be used to store stormwater and manage flow volumes heading for the combined sewer system. in addition opportunities to reuse captured stormwater to irrigate the soccer field or the creek channel are being investigated. the project team has been working closely with the sf recreation and parks department to integrate the creek into existing park uses. the project area is surrounded by a socio-economically disadvantaged community called portola valley. during the planning phase of this project public workshops and multiple small community group meetings were held to solicit public input and feedback. two online surveys were provided for additional public feedback on the project. public input has been used to refine the scope and aesthetic of the project. the project will feature an outdoor classroom to provide opportunities to learn about san francisco's historic creeks and the benefits of natural systems to treat and manage stormwater. the proposed scope incorporates design features to create habitat and biodiversity increase education and public involvement regarding water resource management promote neighborhood greening and enhance interagency project synergies. additional agencies that the project team worked with to refine and gain project approvals are the san francisco municipal transportation agency san francisco fire department and the san francisco department of public works. ","impervious surfaces such as buildings streets and parking lots cover most of san francisco preventing rainfall infiltration. over time creeks were buried and connected to the combined sewers and wetlands were infilled. instead of percolating into soils runoff now travels over impervious surfaces mobilizes pollutants and washes them into the sewer system or receiving water bodies. during heavy rain events stormwater runoff can contribute to localized flooding combined sewer discharges and the degradation of surface water quality. moreover the decrease in infiltration resulting from paved surfaces contributes to groundwater depletion. while water quality protection is the fundamental driver behind stormwater management well-designed stormwater controls (i.e. green infrastructure) offer many direct and ancillary benefits. some of the direct benefits include reducing and delaying the volumes and peak flows of stormwater reaching the sewer system. volume reduction and peak flow desynchronization can help reduce the number of stormwater overflows decrease flooding and protect water quality. green infrastructure projects have the potential to improve the capacity and efficiency of san francisco's treatment facilities. some of the ancillary benefits include enhancement of community spaces street beautification and improved conditions for bicyclists and pedestrians. green infrastructure also protects and creates more livable habitat for native wildlife and provides an opportunity to integrate stormwater management into the redevelopment of historic sites. yosemite creek daylighting is one of eight early implementation projects that will be placed throughout san francisco to provide the basis for performance maintenance and design standards for future city-wide green infrastructure initiatives. ","these early implementation projects are critical to gain public support for the ssip green infrastructure program inform the cost/benefit as utility assets and meet the goals for the city and county of san francisco to revitalize public streets create green jobs and improve wildlife habitat. ","previous studies conducted by the sfpuc identified needs for flood and stormwater management in the yosemite watershed. this project will decrease localized flooding and increase groundwater infiltration by capturing stormwater runoff and directing it to a new unlined creek channel bioretention facilities and subsurface storage tanks. in addition to watershed needs the project considered synergy opportunities and social and environmental factors. proposed enhancements to mclaren park include improved drainage of athletic fields and construction of a new pedestrian path that would provide safer access the park. the project will feature an outdoor classroom to provide opportunities to learn about san francisco's historic creeks and the benefits of treating and managing stormwater with natural systems. the headwater reach of the historic yosemite creek will be restored and bioretention facilities will create potential habitat using native plant species. subsurface storage tanks will be installed to retain excess stormwater and potential reuse for irrigation of mclaren park athletic fields or the creek channel will be investigated. the green infrastructure technologies included in the current scope of the preferred project alternative can manage stormwater from approximately 110 acres of mclaren park. the creek channel and inline bioretention areas are estimated to remove approximately 1 million gallons of stormwater per year from the combined sewer system (in a typical rainfall year). the underground storage facility is estimated to remove approximately 6.5 million gallons of stormwater per year. the reduction in peak flow resulting from a level of service storm (1.3 inches in three hours) is estimated to be approximately 1.2 million gallons per event. these are initial estimates based on unit green infrastructure performance metrics developed using numerous citywide sewer system master plan and ssip modeling analyses conducted using the city and county of san francisco hydrologic and hydraulic model10. these values will be refined through project-specific modeling during conceptual engineering and design. based on this preliminary estimate of annual stormwater volume removed and the estimated annualized life cycle cost the costs of the yosemite creek daylighting project is approximately $0.114 per gallon of stormwater removed. as one of sfpucs early implementation projects information obtained from this project will be used to develop plans for future installations of green infrastructure. ","san francisco public utilities commission ","0","0","1","1","1","1","1","1"
