Project Title,Local Project Sponsor,Project Lead,County,Region,Grant Round,DWR Funding Amount,Total Cost (est. for contract),% Funds Not DWR
Regional Green Infrastructure Project,ABAG/SFEP,ABAG/SFEP,Alameda and Contra Costa,East,Prop 84 Round 1,"$2,315,881 ","$4,481,259 ",48%
Watershed Partnership Technical Assistance,ABAG/SFEP,ABAG/SFEP,,Regional,Prop 84 Round 1,"$150,000 ","$200,000 ",25%
Watershed Program Administration,ABAG/SFEP,ABAG/SFEP,,Regional,Prop 84 Round 1,"$123,574 ","$123,574 ",0%
Administration,ABAG/SFEP,ABAG/SFEP,,Regional,Prop 84 Round 2,"$750,000 ","$750,000 ",0%
Grant Administration,ABAG/SFEP,ABAG/SFEP,,Regional,Prop 84 Round 3 (Drought),"$1,650,000 ","$1,650,000 ",0%
Alameda Creek Phase 2 Fish Passage Project,Alameda County Water District,Alameda County Water District,Alameda,East,Prop 50,"$600,000 ","$971,925 ",38%
Conservation Program,Solano County Water Agency,Alameda County Water District,Alameda,East,Prop 84 Round 1,"$712,500 ","$1,273,058 ",44%
Bay Area Regional Conservation Program,Solano County Water Agency,Alameda County Water District,Alameda,East,Prop 84 Round 2,"$173,250 ","$346,500 ",50%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,Alameda County Water District,Alameda,East,Prop 84 Round 3 (Drought),"$535,000 ","$978,643 ",45%
Administration,Bay Area Clean Water Agencies,Bay Area Clean Water Agencies,,Regional,Prop 50,"$250,000 ","$260,000 ",4%
Regional Conservation Outreach Campaign,Bay Area Clean Water Agencies,Bay Area Clean Water Agencies,,Regional,Prop 50,"$1,042,550 ","$1,052,550 ",1%
Grant Administration,Bay Area Clean Water Agency,Bay Area Clean Water Agencies,,Regional,Prop 84 Round 1,"$590,000 ","$770,000 ",23%
Conservation Program,Solano County Water Agency,Bay Area Water Supply &,San Mateo,West,Prop 84 Round 1,"$862,988 ","$1,423,546 ",39%
Bay Area Regional Conservation Program,Solano County Water Agency,Bay Area Water Supply &Conservation,San Mateo,West,Prop 84 Round 2,"$195,000 ","$390,000 ",50%
Bay Area Regional Drought Relief and Water Conservation Project,Stopwaste.org,Bay Area Water Supply & Conservation Agency,San Mateo,West,Prop 84 Round 3 (Drought),"$535,000 ","$1,034,438 ",48%
Conservation Program,Solano County Water Agency,Bay Friendly Coalition/SW,,Regional,Prop 84 Round 1,"$230,247 ","$470,979 ",51%
Bay Area Regional Conservation Program,Solano County Water agency,Bay Friendly Coalition/SW,Alameda,East,Prop 84 Round 2,"$200,193 ","$400,386 ",50%
